Timestamp,Region,Resource Type,Resource Name,Status,Action Taken
2026-06-28 11:56:36,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 11:56:37,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 11:57:37,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 11:57:37,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 11:57:37,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 11:57:37,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 11:57:37,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 11:58:37,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 11:58:37,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 11:58:37,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 11:58:38,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 11:58:38,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 11:59:38,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 11:59:38,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 11:59:38,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 11:59:38,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 11:59:38,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:00:38,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:00:38,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:00:38,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:00:38,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:00:39,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:01:39,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:01:39,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:01:39,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:01:39,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:01:39,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:02:39,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:02:39,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:02:39,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:02:39,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:02:39,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:03:39,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:03:39,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:03:40,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:03:40,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:03:40,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:04:40,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:04:40,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:04:40,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:04:40,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:04:40,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:05:40,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:05:40,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:05:41,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:05:41,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:05:41,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:06:41,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:06:41,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:06:41,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:06:41,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:06:41,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:07:41,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:07:41,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:07:41,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:07:42,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:07:42,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:08:42,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:08:42,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:08:42,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:08:42,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:08:42,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:09:42,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:09:42,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:09:42,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:09:42,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:09:42,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:10:43,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
